product,process,eqp,cost,ct,oee,pass,option
Product_59,HeatStaking,HeatStake_07,5.70,60.00,1.00,1.00,1.00
Product_59,HeatStaking,HeatStake_08,6.00,55.00,1.00,1.00,2.00
Product_59,Testing,Tester_07,2.90,36.00,1.00,1.00,1.00
Product_59,Testing,Tester_08,3.50,32.00,1.00,1.00,2.00
Product_60,HeatStaking,HeatStake_07,5.70,60.00,1.00,1.00,1.00
Product_60,HeatStaking,HeatStake_08,6.00,55.00,1.00,1.00,2.00
Product_60,Testing,Tester_07,2.90,36.00,1.00,1.00,1.00
Product_60,Testing,Tester_08,3.50,32.00,1.00,1.00,2.00
Product_57,HeatStaking,HeatStake_06,7.50,50.00,1.00,1.00,1.00
Product_57,HeatStaking,HeatStake_09,7.90,44.00,1.00,1.00,2.00
Product_57,HeatStaking,HeatStake_08,7.30,65.00,1.00,1.00,3.00
Product_57,HeatStaking,HeatStake_07,7.30,72.00,1.00,1.00,4.00
Product_57,Testing,Tester_06,2.50,48.00,1.00,1.00,1.00
Product_57,Testing,Tester_09,3.00,41.00,1.00,1.00,2.00
Product_57,Testing,Tester_08,2.90,60.00,1.00,1.00,3.00
Product_57,Testing,Tester_07,2.70,52.00,1.00,1.00,4.00
Product_58,HeatStaking,HeatStake_06,7.50,50.00,1.00,1.00,1.00
Product_58,HeatStaking,HeatStake_09,7.90,44.00,1.00,1.00,2.00
Product_58,HeatStaking,HeatStake_08,7.30,65.00,1.00,1.00,3.00
Product_58,HeatStaking,HeatStake_07,7.30,72.00,1.00,1.00,4.00
Product_58,Testing,Tester_06,2.50,48.00,1.00,1.00,1.00
Product_58,Testing,Tester_09,3.00,41.00,1.00,1.00,2.00
Product_58,Testing,Tester_08,2.90,60.00,1.00,1.00,3.00
Product_58,Testing,Tester_07,2.70,52.00,1.00,1.00,4.00
Product_71,HeatStaking,HeatStake_08,7.60,75.00,1.00,1.00,1.00
Product_71,HeatStaking,HeatStake_07,7.60,75.00,1.00,1.00,2.00
Product_71,Testing,Tester_08,2.60,36.00,1.00,1.00,1.00
Product_71,Testing,Tester_07,2.60,36.00,1.00,1.00,2.00
Product_72,HeatStaking,HeatStake_08,7.60,75.00,1.00,1.00,1.00
Product_72,HeatStaking,HeatStake_07,7.60,75.00,1.00,1.00,2.00
Product_72,Testing,Tester_08,2.60,36.00,1.00,1.00,1.00
Product_72,Testing,Tester_07,2.60,36.00,1.00,1.00,2.00
Product_66,HeatStaking,HeatStake_08,7.00,60.00,1.00,1.00,1.00
Product_66,HeatStaking,HeatStake_07,8.00,65.00,1.00,1.00,2.00
Product_66,Testing,Tester_08,1.50,42.00,1.00,1.00,1.00
Product_66,Testing,Tester_07,1.20,42.00,1.00,1.00,2.00
Product_67,HeatStaking,HeatStake_08,7.00,60.00,1.00,1.00,1.00
Product_67,HeatStaking,HeatStake_07,8.00,65.00,1.00,1.00,2.00
Product_67,Testing,Tester_08,1.50,42.00,1.00,1.00,1.00
Product_67,Testing,Tester_07,1.20,42.00,1.00,1.00,2.00
Product_17,HeatStaking,HeatStake_10,6.80,19.80,1.00,1.00,1.00
Product_17,HeatStaking,HeatStake_07,6.50,21.00,1.00,1.00,2.00
Product_17,HeatStaking,HeatStake_08,5.80,32.00,1.00,1.00,3.00
Product_17,Testing,Tester_10,1.10,12.30,1.00,1.00,1.00
Product_17,Testing,Tester_07,3.00,15.00,1.00,1.00,2.00
Product_17,Testing,Tester_08,2.00,13.00,1.00,1.00,3.00
Product_40,HeatStaking,HeatStake_04,4.60,180.00,1.00,1.00,1.00
Product_40,Testing,Tester_04,2.30,30.50,1.00,1.00,1.00
Product_41,HeatStaking,HeatStake_04,4.60,180.00,1.00,1.00,1.00
Product_41,Testing,Tester_04,2.30,30.50,1.00,1.00,1.00
Product_38,HeatStaking,HeatStake_04,5.30,180.00,1.00,1.00,1.00
Product_38,Testing,Tester_04,2.60,30.50,1.00,1.00,1.00
Product_39,HeatStaking,HeatStake_04,5.30,180.00,1.00,1.00,1.00
Product_39,Testing,Tester_04,2.60,30.50,1.00,1.00,1.00
Product_70,HeatStaking,HeatStake_06,3.40,27.10,1.00,1.00,1.00
Product_70,Testing,Tester_06,1.10,22.00,1.00,1.00,1.00
Product_69,HeatStaking,HeatStake_06,5.10,20.00,1.00,1.00,1.00
Product_69,Testing,Tester_06,1.80,22.00,1.00,1.00,1.00
Product_75,HeatStaking,HeatStake_09,3.20,60.00,1.00,1.00,1.00
Product_75,HeatStaking,HeatStake_04,5.00,40.00,1.00,1.00,2.00
Product_75,Testing,Tester_09,1.90,30.00,1.00,1.00,1.00
Product_75,Testing,Tester_04,1.90,30.00,1.00,1.00,2.00
Product_76,HeatStaking,HeatStake_09,3.20,60.00,1.00,1.00,1.00
Product_76,HeatStaking,HeatStake_04,5.00,40.00,1.00,1.00,2.00
Product_76,Testing,Tester_09,1.90,30.00,1.00,1.00,1.00
Product_76,Testing,Tester_04,1.90,30.00,1.00,1.00,2.00
Product_73,HeatStaking,HeatStake_09,6.60,60.00,1.00,1.00,1.00
Product_73,HeatStaking,HeatStake_04,5.00,40.00,1.00,1.00,2.00
Product_73,Testing,Tester_09,2.60,30.00,1.00,1.00,1.00
Product_73,Testing,Tester_04,2.60,30.00,1.00,1.00,2.00
Product_74,HeatStaking,HeatStake_09,6.60,60.00,1.00,1.00,1.00
Product_74,HeatStaking,HeatStake_04,5.00,40.00,1.00,1.00,2.00
Product_74,Testing,Tester_09,2.60,30.00,1.00,1.00,1.00
Product_74,Testing,Tester_04,2.60,30.00,1.00,1.00,2.00
Product_86,HeatStaking,HeatStake_05,3.10,60.00,1.00,1.00,1.00
Product_86,Testing,Tester_05,2.70,40.00,1.00,1.00,1.00
Product_85,HeatStaking,HeatStake_05,3.10,60.00,1.00,1.00,1.00
Product_85,Testing,Tester_05,2.70,40.00,1.00,1.00,1.00
Product_36,HeatStaking,HeatStake_06,6.20,120.00,1.00,1.00,1.00
Product_36,Testing,Tester_06,2.30,90.00,1.00,1.00,1.00
Product_35,HeatStaking,HeatStake_06,6.80,120.00,1.00,1.00,1.00
Product_35,Testing,Tester_06,2.40,90.00,1.00,1.00,1.00
Product_34,HeatStaking,HeatStake_06,6.80,120.00,1.00,1.00,1.00
Product_34,Testing,Tester_06,2.40,90.00,1.00,1.00,1.00
Product_33,HeatStaking,HeatStake_06,7.50,120.00,1.00,1.00,1.00
Product_33,Testing,Tester_06,1.60,90.00,1.00,1.00,1.00
Product_32,HeatStaking,HeatStake_06,7.50,120.00,1.00,1.00,1.00
Product_32,Testing,Tester_06,1.60,90.00,1.00,1.00,1.00
Product_61,HeatStaking,HeatStake_11,5.50,30.00,1.00,1.00,1.00
Product_61,Testing,Tester_11,2.40,22.00,1.00,1.00,1.00
Product_10,HeatStaking,HeatStake_03,3.10,60.00,1.00,1.00,1.00
Product_10,Testing,Tester_03,3.00,30.00,1.00,1.00,1.00
Product_09,HeatStaking,HeatStake_03,3.10,60.00,1.00,1.00,1.00
Product_09,Testing,Tester_03,3.00,30.00,1.00,1.00,1.00
Product_05,HeatStaking,HeatStake_01,6.00,50.00,1.00,1.00,1.00
Product_05,HeatStaking,HeatStake_02,8.00,65.00,1.00,1.00,2.00
Product_05,Testing,Tester_01,1.60,27.10,1.00,1.00,1.00
Product_05,Testing,Tester_02,3.10,35.00,1.00,1.00,2.00
Product_06,HeatStaking,HeatStake_01,6.00,50.00,1.00,1.00,1.00
Product_06,HeatStaking,HeatStake_02,8.00,65.00,1.00,1.00,2.00
Product_06,Testing,Tester_01,1.60,27.10,1.00,1.00,1.00
Product_06,Testing,Tester_02,3.10,35.00,1.00,1.00,2.00
Product_07,HeatStaking,HeatStake_01,4.70,50.00,1.00,1.00,1.00
Product_07,HeatStaking,HeatStake_02,6.10,55.00,1.00,1.00,2.00
Product_07,Testing,Tester_01,3.00,27.10,1.00,1.00,1.00
Product_07,Testing,Tester_02,4.30,32.00,1.00,1.00,2.00
Product_08,HeatStaking,HeatStake_01,4.70,50.00,1.00,1.00,1.00
Product_08,HeatStaking,HeatStake_02,6.10,55.00,1.00,1.00,2.00
Product_08,Testing,Tester_01,3.00,27.10,1.00,1.00,1.00
Product_08,Testing,Tester_02,4.30,32.00,1.00,1.00,2.00
Product_03,Testing,Tester_01,2.20,52.90,1.00,1.00,1.00
Product_04,Testing,Tester_01,2.20,52.90,1.00,1.00,1.00
Product_22,HeatStaking,HeatStake_06,4.50,120.00,1.00,1.00,1.00
Product_22,Testing,Tester_06,3.00,30.00,1.00,1.00,1.00
Product_29,HeatStaking,HeatStake_05,3.60,60.00,1.00,1.00,1.00
Product_29,Testing,Tester_05,2.60,40.00,1.00,1.00,1.00
Product_28,HeatStaking,HeatStake_05,3.60,60.00,1.00,1.00,1.00
Product_28,Testing,Tester_05,1.20,40.00,1.00,1.00,1.00
Product_12,HeatStaking,HeatStake_11,5.80,30.00,1.00,1.00,1.00
Product_12,Testing,Tester_11,2.60,22.00,1.00,1.00,1.00
Product_23,Testing,Tester_02,1.20,38.70,1.00,1.00,1.00
Product_24,Testing,Tester_02,1.20,38.70,1.00,1.00,1.00
Product_37,HeatStaking,HeatStake_06,5.40,28.10,1.00,1.00,1.00
Product_37,HeatStaking,HeatStake_04,5.40,23.00,1.00,1.00,2.00
Product_37,Testing,Tester_06,2.30,22.00,1.00,1.00,1.00
Product_37,Testing,Tester_04,2.30,25.00,1.00,1.00,2.00
Product_59,Pressing,HydraulicPress_01,1.00,420.00,1.00,1.00,1.00
Product_60,Pressing,HydraulicPress_01,1.00,420.00,1.00,1.00,1.00
Product_57,Pressing,HydraulicPress_01,0.60,270.00,1.00,1.00,1.00
Product_58,Pressing,HydraulicPress_01,0.60,270.00,1.00,1.00,1.00
Product_71,Pressing,HydraulicPress_01,1.70,248.30,1.00,1.00,1.00
Product_72,Pressing,HydraulicPress_01,1.70,248.30,1.00,1.00,1.00
Product_66,Pressing,HydraulicPress_01,0.40,300.00,1.00,1.00,1.00
Product_67,Pressing,HydraulicPress_01,0.40,300.00,1.00,1.00,1.00
Product_82,Pressing,HydraulicPress_01,1.70,49.70,1.00,1.00,1.00
Product_81,Pressing,HydraulicPress_01,1.70,49.70,1.00,1.00,1.00
Product_17,Pressing,HydraulicPress_01,1.00,7.20,1.00,1.00,1.00
Product_40,Pressing,HydraulicPress_01,0.50,446.90,1.00,1.00,1.00
Product_41,Pressing,HydraulicPress_01,0.50,446.90,1.00,1.00,1.00
Product_38,Pressing,HydraulicPress_01,0.80,446.90,1.00,1.00,1.00
Product_39,Pressing,HydraulicPress_01,0.80,446.90,1.00,1.00,1.00
Product_70,Pressing,HydraulicPress_01,2.00,24.80,1.00,1.00,1.00
Product_75,Pressing,HydraulicPress_01,1.60,74.50,1.00,1.00,1.00
Product_76,Pressing,HydraulicPress_01,1.60,74.50,1.00,1.00,1.00
Product_73,Pressing,HydraulicPress_01,1.30,198.60,1.00,1.00,1.00
Product_74,Pressing,HydraulicPress_01,1.30,198.60,1.00,1.00,1.00
Product_46,Pressing,HydraulicPress_01,1.80,124.10,1.00,1.00,1.00
Product_45,Pressing,HydraulicPress_01,1.80,124.10,1.00,1.00,1.00
Product_48,Pressing,HydraulicPress_01,1.90,124.10,1.00,1.00,1.00
Product_47,Pressing,HydraulicPress_01,1.90,124.10,1.00,1.00,1.00
Product_86,Pressing,HydraulicPress_01,1.10,24.80,1.00,1.00,1.00
Product_85,Pressing,HydraulicPress_01,1.10,24.80,1.00,1.00,1.00
Product_36,Pressing,HydraulicPress_01,0.50,149.00,1.00,1.00,1.00
Product_35,Pressing,HydraulicPress_01,0.40,223.40,1.00,1.00,1.00
Product_34,Pressing,HydraulicPress_01,0.40,223.40,1.00,1.00,1.00
Product_33,Pressing,HydraulicPress_01,0.70,223.40,1.00,1.00,1.00
Product_32,Pressing,HydraulicPress_01,0.70,223.40,1.00,1.00,1.00
Product_51,Pressing,HydraulicPress_01,1.70,124.10,1.00,1.00,1.00
Product_52,Pressing,HydraulicPress_01,1.70,124.10,1.00,1.00,1.00
Product_49,Pressing,HydraulicPress_01,1.90,124.10,1.00,1.00,1.00
Product_50,Pressing,HydraulicPress_01,1.90,124.10,1.00,1.00,1.00
Product_61,Pressing,HydraulicPress_01,0.80,24.80,1.00,1.00,1.00
Product_55,Pressing,HydraulicPress_01,0.60,149.00,1.00,1.00,1.00
Product_56,Pressing,HydraulicPress_01,0.60,149.00,1.00,1.00,1.00
Product_53,Pressing,HydraulicPress_01,0.20,149.00,1.00,1.00,1.00
Product_54,Pressing,HydraulicPress_01,0.20,149.00,1.00,1.00,1.00
Product_78,Pressing,HydraulicPress_01,0.30,24.80,1.00,1.00,1.00
Product_83,Pressing,HydraulicPress_01,0.30,24.80,1.00,1.00,1.00
Product_10,Pressing,HydraulicPress_01,1.30,273.10,1.00,1.00,1.00
Product_09,Pressing,HydraulicPress_01,1.30,273.10,1.00,1.00,1.00
Product_80,Pressing,HydraulicPress_01,0.70,24.80,1.00,1.00,1.00
Product_87,Pressing,HydraulicPress_01,0.70,24.80,1.00,1.00,1.00
Product_22,Pressing,HydraulicPress_01,1.50,372.40,1.00,1.00,1.00
Product_29,Pressing,HydraulicPress_01,1.20,24.80,1.00,1.00,1.00
Product_28,Pressing,HydraulicPress_01,1.20,24.80,1.00,1.00,1.00
Product_25,Pressing,HydraulicPress_01,0.60,24.80,1.00,1.00,1.00
Product_14,Pressing,HydraulicPress_01,0.30,24.80,1.00,1.00,1.00
Product_13,Pressing,HydraulicPress_01,0.30,24.80,1.00,1.00,1.00
Product_79,Pressing,HydraulicPress_01,1.80,49.70,1.00,1.00,1.00
Product_77,Pressing,HydraulicPress_01,1.80,49.70,1.00,1.00,1.00
Product_11,Pressing,HydraulicPress_01,1.10,24.80,1.00,1.00,1.00
Product_02,Pressing,HydraulicPress_01,0.30,149.00,1.00,1.00,1.00
Product_01,Pressing,HydraulicPress_01,0.50,49.70,1.00,1.00,1.00
Product_26,Pressing,HydraulicPress_01,1.50,99.30,1.00,1.00,1.00
Product_27,Pressing,HydraulicPress_01,1.50,99.30,1.00,1.00,1.00
Product_21,Pressing,HydraulicPress_01,1.70,223.40,1.00,1.00,1.00
Product_20,Pressing,HydraulicPress_01,1.70,223.40,1.00,1.00,1.00
Product_19,Pressing,HydraulicPress_01,1.00,223.40,1.00,1.00,1.00
Product_18,Pressing,HydraulicPress_01,1.00,223.40,1.00,1.00,1.00
Product_12,Pressing,HydraulicPress_01,0.60,24.80,1.00,1.00,1.00
Product_16,Pressing,HydraulicPress_01,0.80,74.50,1.00,1.00,1.00
Product_15,Pressing,HydraulicPress_01,0.80,74.50,1.00,1.00,1.00
Product_23,Pressing,HydraulicPress_01,1.70,74.50,1.00,1.00,1.00
Product_24,Pressing,HydraulicPress_01,1.70,74.50,1.00,1.00,1.00
Product_64,Pressing,HydraulicPress_01,0.90,24.80,1.00,1.00,1.00
Product_65,Pressing,HydraulicPress_01,0.90,24.80,1.00,1.00,1.00
Product_62,Pressing,HydraulicPress_01,0.50,24.80,1.00,1.00,1.00
Product_63,Pressing,HydraulicPress_01,0.50,24.80,1.00,1.00,1.00
Product_37,Pressing,HydraulicPress_01,0.30,24.80,1.00,1.00,1.00
Product_69,Pressing,HydraulicPress_01,1.70,24.80,1.00,1.00,1.00
Product_59,Clinching,Clincher_01,1.40,90.00,1.00,1.00,1.00
Product_60,Clinching,Clincher_01,1.40,90.00,1.00,1.00,1.00
Product_57,Clinching,Clincher_01,1.40,60.00,1.00,1.00,1.00
Product_58,Clinching,Clincher_01,1.40,60.00,1.00,1.00,1.00
Product_71,Clinching,Clincher_02,2.70,94.70,1.00,1.00,1.00
Product_72,Clinching,Clincher_02,2.70,94.70,1.00,1.00,1.00
Product_66,Clinching,Clincher_02,1.20,128.60,1.00,1.00,1.00
Product_67,Clinching,Clincher_02,1.20,128.60,1.00,1.00,1.00
Product_82,Clinching,Clincher_02,2.30,56.30,1.00,1.00,1.00
Product_81,Clinching,Clincher_02,2.30,56.30,1.00,1.00,1.00
Product_17,Clinching,Clincher_02,2.30,20.30,1.00,1.00,1.00
Product_40,Clinching,Clincher_02,1.50,240.00,1.00,1.00,1.00
Product_41,Clinching,Clincher_02,1.50,240.00,1.00,1.00,1.00
Product_38,Clinching,Clincher_02,1.50,240.00,1.00,1.00,1.00
Product_39,Clinching,Clincher_02,1.50,240.00,1.00,1.00,1.00
Product_70,Clinching,Clincher_02,1.80,26.10,1.00,1.00,1.00
Product_75,Clinching,Clincher_01,2.40,10.00,1.00,1.00,1.00
Product_76,Clinching,Clincher_01,2.40,10.00,1.00,1.00,1.00
Product_73,Clinching,Clincher_01,2.40,40.00,1.00,1.00,1.00
Product_74,Clinching,Clincher_01,2.40,40.00,1.00,1.00,1.00
Product_46,Clinching,Clincher_02,2.30,40.00,1.00,1.00,1.00
Product_45,Clinching,Clincher_02,2.30,40.00,1.00,1.00,1.00
Product_48,Clinching,Clincher_02,2.20,40.00,1.00,1.00,1.00
Product_47,Clinching,Clincher_02,2.20,40.00,1.00,1.00,1.00
Product_86,Clinching,Clincher_02,2.20,59.00,1.00,1.00,1.00
Product_85,Clinching,Clincher_02,2.20,59.00,1.00,1.00,1.00
Product_36,Clinching,Clincher_02,1.40,40.90,1.00,1.00,1.00
Product_35,Clinching,Clincher_02,1.80,189.50,1.00,1.00,1.00
Product_34,Clinching,Clincher_02,1.80,189.50,1.00,1.00,1.00
Product_33,Clinching,Clincher_02,1.80,189.50,1.00,1.00,1.00
Product_32,Clinching,Clincher_02,1.80,189.50,1.00,1.00,1.00
Product_51,Clinching,Clincher_02,1.30,34.00,1.00,1.00,1.00
Product_52,Clinching,Clincher_02,1.30,34.00,1.00,1.00,1.00
Product_49,Clinching,Clincher_02,1.20,34.00,1.00,1.00,1.00
Product_50,Clinching,Clincher_02,1.20,34.00,1.00,1.00,1.00
Product_61,Clinching,Clincher_02,3.00,28.60,1.00,1.00,1.00
Product_55,Clinching,Clincher_02,2.80,40.90,1.00,1.00,1.00
Product_56,Clinching,Clincher_02,2.80,40.90,1.00,1.00,1.00
Product_53,Clinching,Clincher_02,2.80,40.90,1.00,1.00,1.00
Product_54,Clinching,Clincher_02,2.80,40.90,1.00,1.00,1.00
Product_78,Clinching,Clincher_02,1.70,52.90,1.00,1.00,1.00
Product_83,Clinching,Clincher_02,1.70,52.90,1.00,1.00,1.00
Product_10,Clinching,Clincher_02,1.60,100.00,1.00,1.00,1.00
Product_09,Clinching,Clincher_02,1.60,100.00,1.00,1.00,1.00
Product_80,Clinching,Clincher_02,2.90,128.60,1.00,1.00,1.00
Product_87,Clinching,Clincher_02,2.90,128.60,1.00,1.00,1.00
Product_22,Clinching,Clincher_02,2.70,124.10,1.00,1.00,1.00
Product_29,Clinching,Clincher_02,2.90,59.00,1.00,1.00,1.00
Product_28,Clinching,Clincher_02,2.90,59.00,1.00,1.00,1.00
Product_25,Clinching,Clincher_02,2.40,41.40,1.00,1.00,1.00
Product_14,Clinching,Clincher_02,1.80,30.00,1.00,1.00,1.00
Product_13,Clinching,Clincher_02,1.80,30.00,1.00,1.00,1.00
Product_79,Clinching,Clincher_02,2.20,30.00,1.00,1.00,1.00
Product_77,Clinching,Clincher_02,2.20,30.00,1.00,1.00,1.00
Product_11,Clinching,Clincher_02,1.30,42.90,1.00,1.00,1.00
Product_02,Clinching,Clincher_02,2.70,54.50,1.00,1.00,1.00
Product_01,Clinching,Clincher_02,1.50,54.50,1.00,1.00,1.00
Product_26,Clinching,Clincher_02,2.70,40.00,1.00,1.00,1.00
Product_27,Clinching,Clincher_02,2.70,40.00,1.00,1.00,1.00
Product_21,Clinching,Clincher_02,2.80,87.80,1.00,1.00,1.00
